RANK,SAB,TTY,SUPPRESS
0121,MDRJPN,OSJKN1,N
0120,WHOFRE,HT,N
0119,WHOGER,HT,N
0118,WHOPOR,HT,N
0117,WHOSPA,HT,N
0116,LNC-DE-DE,LN,N
0115,LNC-DE-DE,LC,N
0114,LNC-DE-DE,OLC,Y
0113,LNC-DE-DE,LO,Y
0112,LNC-EL-GR,LN,N
0111,LNC-EL-GR,LO,Y
0110,LNC-ES-AR,LN,N
0109,LNC-ES-AR,OSN,N
0108,LNC-ES-AR,LO,Y
0107,LNC-ES-AR,OOSN,Y
0106,LNC-ES-MX,LN,N
0105,LNC-ES-MX,LO,Y
0104,LNC-ES-MX,LC,N
0103,LNC-ES-MX,OLC,Y
0102,LNC-ES-ES,LN,N
0101,LNC-ES-ES,LO,Y
0100,LNC-ET-EE,LN,N
0099,LNC-ET-EE,LO,Y
0098,LNC-FR-BE,LN,N
0097,LNC-FR-BE,LO,Y
0096,LNC-FR-CA,LN,N
0095,LNC-FR-CA,LO,Y
0094,LNC-FR-FR,LN,N
0093,LNC-FR-FR,LC,N
0092,LNC-FR-FR,OLC,Y
0091,LNC-FR-FR,LO,Y
0090,LNC-IT-IT,LN,N
0089,LNC-IT-IT,LO,Y
0088,LNC-KO-KR,LN,N
0087,LNC-KO-KR,LO,Y
0086,LNC-PL-PL,LN,N
0085,LNC-PL-PL,LO,Y
0084,LNC-NL-NL,LN,N
0083,LNC-NL-NL,LO,Y
0082,LNC-NL-NL,LC,N
0081,LNC-NL-NL,OLC,Y
0080,LNC-PT-BR,LN,N
0079,LNC-PT-BR,OSN,N
0078,LNC-PT-BR,LO,Y
0077,LNC-PT-BR,OOSN,Y
0076,LNC-RU-RU,LN,N
0075,LNC-RU-RU,LO,Y
0074,LNC-TR-TR,LN,N
0073,LNC-TR-TR,LO,Y
0072,LNC-UK-UA,LN,N
0071,LNC-UK-UA,LC,N
0070,LNC-UK-UA,OSN,N
0069,LNC-UK-UA,LVDN,N
0068,LNC-UK-UA,LO,Y
0067,LNC-UK-UA,OLC,Y
0066,LNC-UK-UA,OOSN,Y
0065,LNC-ZH-CN,LN,N
0064,LNC-ZH-CN,LO,Y
0063,LNC-DE-AT,LN,N
0062,LNC-DE-AT,LO,Y
0061,LNC-DE-AT,LVDN,N
0060,MEDLINEPLUS_SPA,PT,N
0059,MEDLINEPLUS_SPA,HT,N
0058,WHOFRE,PT,N
0057,WHOGER,PT,N
0056,WHOPOR,PT,N
0055,WHOSPA,PT,N
0054,WHOFRE,IT,N
0053,WHOGER,IT,N
0052,WHOPOR,IT,N
0051,WHOSPA,IT,N
0050,WHOFRE,OS,N
0049,WHOGER,OS,N
0048,WHOPOR,OS,N
0047,WHOSPA,OS,N
0046,CPTSP,PT,N
0045,DMDUMD,PT,N
0044,DMDUMD,ET,N
0043,DMDUMD,RT,N
0042,DMDICD10,PT,N
0041,DMDICD10,HT,N
0040,ICPCBAQ,PT,N
0039,ICPCDAN,PT,N
0038,ICPC2EDUT,PT,N
0037,ICD10DUT,PT,N
0036,ICD10DUT,HT,N
0035,ICPC2ICD10DUT,PT,N
0034,ICPCDUT,PT,N
0033,ICPCFIN,PT,N
0032,ICPCFRE,PT,N
0031,ICPCGER,PT,N
0030,ICPCHEB,PT,N
0029,ICPCHUN,PT,N
0028,ICPCITA,PT,N
0027,ICPCNOR,PT,N
0026,ICPCPOR,PT,N
0025,ICPCSPA,PT,N
0024,ICPCSWE,PT,N
0023,ICPCBAQ,CP,N
0022,ICPCDAN,CP,N
0021,ICPCDUT,CP,N
0020,ICPCFIN,CP,N
0019,ICPCFRE,CP,N
0018,ICPCGER,CP,N
0017,ICPCHEB,CP,N
0016,ICPCHUN,CP,N
0015,ICPCITA,CP,N
0014,ICPCNOR,CP,N
0013,ICPCPOR,CP,N
0012,ICPCSPA,CP,N
0011,ICPCSWE,CP,N
0010,MTHMSTFRE,PT,N
0009,MTHMSTITA,PT,N
0008,SRC,RPT,N
0007,SRC,RHT,N
0006,SRC,RAB,N
0005,SRC,RSY,N
0004,SRC,VPT,N
0003,SRC,VAB,N
0002,SRC,VSY,N
0001,SRC,SSN,N
